Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
plantedAloe3Harvest,blocks,Farming,,,Aloe Vera Plant,,Aloe-Vera-Pflanze,Planta de aloe vera,Plant d'aloe vera,Pianta di aloe vera,アロエベラプラント,알로에베라,Aloes — roślina,Planta de babosa,Растение «Алоэ вера»,Aloe Vera Bitkisi,芦荟植株,蘆薈植株,Planta de aloe vera
plantedBlueberry3Harvest,blocks,Farming,,,Blueberry Plant,,Heidelbeerpflanze,Planta de moras,Plant de myrtille,Pianta di mirtilli,ブルーベリープラント,블루베리,Czarna jagoda — roślina,Planta de mirtilo,Растение «Черника»,Yabanmersini Bitkisi,蓝莓植株,藍莓植株,Planta de moras
plantedChrysanthemum3Harvest,blocks,Farming,,,Chrysanthemum,,Chrysantheme,Crisantemo,Chrysanthème,Crisantemo,菊,국화,Chryzantema,Crisântemo,Хризантема,Krizantem,菊花,菊花,Crisantemo
plantedCoffee3Harvest,blocks,Farming,,,Coffee Plant,,Kaffeepflanze,Planta de café,Plant de café,Pianta di caffè,コーヒープラント,커피,Kawa — roślina,Planta de café,Растение «Кофейное дерево»,Kahve Bitkisi,咖啡植株,咖啡樹,Planta de café
plantedCorn3Harvest,blocks,Farming,,,Corn Plant,,Maispflanze,Planta de maíz,Plant de maïs,Pianta di granoturco,トウモロコシプラント,옥수수,Kukurydza — roślina,Planta de milho,Растение «Кукуруза»,Mısır Bitkisi,玉米植株,玉米植株,Planta de maíz
plantedCotton3Harvest,blocks,Farming,,,Cotton Plant,,Baumwollpflanze,Planta de algodón,Plant de coton,Pianta di cotone,綿花プラント,목화,Bawełna — roślina,Planta de algodão,Растение «Хлопок»,Pamuk Bitkisi,棉花植株,棉花植株,Planta de algodón
plantedGoldenrod3Harvest,blocks,Farming,,,Goldenrod Flower,,Goldrutenpflanze,Flor de vara de oro,Fleur de gerbe d'or,Fiore di verga d'oro,アキノキリンソウの花,미역취 꽃,Nawłoć — kwiat,Flor de solidago,Цветок золотарника,Altınbaşak Çiçeği,秋麒麟花,麒麟草花,Flor de vara de oro
plantedGraceCorn3Harvest,blocks,Farming,,,Super Corn,,Super-Mais,Supermaíz,Super maïs,Granoturco super,スーパーコーン,슈퍼 옥수수,Super kukurydza,Supermilho,Суперкукуруза,Süper Mısır,超级玉米,超級玉米,Supermaíz
plantedHop3Harvest,blocks,Farming,,,Hop Plant,,Hopfenpflanze,Planta de lúpulo,Plant de houblon,Pianta di luppolo,ホッププラント,홉,Chmiel — roślina,Planta de lúpulo,Растение «Хмель»,Şerbetçiotu Bitkisi,啤酒花植株,啤酒花植株,Planta de lúpulo
plantedMushroom3Harvest,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,マッシュルーム,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇,Setas
