Key,Source,Context,Changes,English,schinese
Perk Mastery,progression,Attribute,New,Perk Mastery,精通技能
Master your area of expertise!,progression,Attribute,New,Master your area of expertise!,掌握您的专业领域!
Unlock Masteries,progression,Attribute,New,Unlock Masteries,解锁专精
"Master yourself, master the enemy.",progression,Attribute,New,"Master yourself, master the enemy.","战胜自己,战胜敌人"
Jack of All Trades,progression,Attribute,New,Jack of All Trades!,多面手
Master of One,progression,Attribute,New,Master of One!,专精一项
Sprinter,progression,skills,New,Sprinter,短跑选手
You are mastering the art of sprinting. Your sprinting speed increases.,progression,skills,New,You are mastering the art of sprinting. Your sprinting speed increases.,"你正在学习短跑的技巧,冲刺速度提高了"
Increase your sprinting speed by 7%.,progression,skills,New,Increase your sprinting speed by 7%.,你的冲刺速度提高7%
Increase your sprinting speed by 14%.,progression,skills,New,Increase your sprinting speed by 14%.,你的冲刺速度提高14%
Increase your sprinting speed by 21%.,progression,skills,New,Increase your sprinting speed by 21%.,你的冲刺速度提高21%
Increase your sprinting speed by 28%.,progression,skills,New,Increase your sprinting speed by 28%.,你的冲刺速度提高28%
Increase your sprinting speed by 35%.,progression,skills,New,Increase your sprinting speed by 35%.,你的冲刺速度提高35%
Increase your sprinting speed by 42%.,progression,skills,New,Increase your sprinting speed by 42%.,你的冲刺速度提高42%
Gotta go fast! Increase your sprinting speed by 50%.,progression,skills,New,Gotta go fast! Increase your sprinting speed by 50%.,可以更快!你的冲刺速度提高50%
Runner,progression,skills,New,Runner,长跑选手
You are mastering the art of running. Your stamina recuperation increases.,progression,skills,New,You are mastering the art of running. Your stamina recuperation increases.,"你正在学习长跑的技巧,你的体力恢复速度提高了"
Increase stamina regen by 4%.,progression,skills,New,Increase stamina regen by 4%.,体力恢复速度提高4%
Increase stamina regen by 8%.,progression,skills,New,Increase stamina regen by 8%.,体力恢复速度提高8%
Increase stamina regen by 12%.,progression,skills,New,Increase stamina regen by 12%.,体力恢复速度提高12%
Increase stamina regen by 16%.,progression,skills,New,Increase stamina regen by 16%.,体力恢复速度提高16%
Increase stamina regen by 20%..,progression,skills,New,Increase stamina regen by 20%..,体力恢复速度提高20%
Increase stamina regen by 24%.,progression,skills,New,Increase stamina regen by 24%.,体力恢复速度提高24%
It's about how much you can take and keep moving forward! Increase stamina regen by 30%.,progression,skills,New,It's about how much you can take and keep moving forward! Increase stamina regen by 30%.,这是关系到你能承受多少并继续行动!\n体力恢复速度提高30%
Survivalist,progression,skills,New,Survivalist,幸存者
You are conditioning your body to the maximum limits. Your tolerance towards the elements increases.,progression,skills,New,You are conditioning your body to the maximum limits. Your tolerance towards the elements increases.,"正在将你的身体强化到极限,你对外界环境的耐受性增强了"
Increase your resistance agains heat and cold by 4 and reduce food and water loss from physical exertion by 4%.,progression,skills,New,Increase your resistance agains heat and cold by 4 and reduce food and water loss from physical exertion by 4%.,炎热和寒冷抗性提高4\n行动导致的食物和水的消耗降低4%
Increase your resistance agains heat and cold by 8 and reduce food and water loss from physical exertion by 8%,progression,skills,New,Increase your resistance agains heat and cold by 8 and reduce food and water loss from physical exertion by 8%,炎热和寒冷抗性提高8\n行动导致的食物和水的消耗降低8%
Increase your resistance agains heat and cold by 12 and reduce food and water loss from physical exertion by 12%,progression,skills,New,Increase your resistance agains heat and cold by 12 and reduce food and water loss from physical exertion by 12%,炎热和寒冷抗性提高12\n行动导致的食物和水的消耗降低12%
Increase your resistance agains heat and cold by 16 and reduce food and water loss from physical exertion by 16%,progression,skills,New,Increase your resistance agains heat and cold by 16 and reduce food and water loss from physical exertion by 16%,炎热和寒冷抗性提高16\n行动导致的食物和水的消耗降低16%
Increase your resistance agains heat and cold by 20 and reduce food and water loss from physical exertion by 20%,progression,skills,New,Increase your resistance agains heat and cold by 20 and reduce food and water loss from physical exertion by 20%,炎热和寒冷抗性提高20\n行动导致的食物和水的消耗降低20%
Increase your resistance agains heat and cold by 24 and reduce food and water loss from physical exertion by 24%,progression,skills,New,Increase your resistance agains heat and cold by 24 and reduce food and water loss from physical exertion by 24%,炎热和寒冷抗性提高24\n行动导致的食物和水的消耗降低24%
You've mastered the art of surviving in the wilderness! Increase your resistance agains heat and cold by 30 and and reduce food and water loss from physical exertion by 30%.,progression,skills,New,You've mastered the art of surviving in the wilderness! Increase your resistance agains heat and cold by 30 and and reduce food and water loss from physical exertion by 30%.,你已经掌握了在荒野中生存的技术!\n炎热和寒冷抗性提高30\n行动导致的食物和水的消耗降低30%
Calisthenics,progression,skills,New,Calisthenics,健美操
"You are mastering the excercising method of only using your body, enforcing a daily training regime and a balanced diet. Your maximum health and stamina increase.",progression,skills,New,"You are mastering the excercising method of only using your body, enforcing a daily training regime and a balanced diet. Your maximum health and stamina increase.",你正在学习只使用身体的锻炼方法，加强日常训练和均衡饮食。提高你的最大生命值和体力。
Increase your maximum health and stamina by 5.,progression,skills,New,Increase your maximum health and stamina by 5.,最大生命值和体力增加5
Increase your maximum health and stamina by 10.,progression,skills,New,Increase your maximum health and stamina by 10.,最大生命值和体力增加10
Increase your maximum health and stamina by 15.,progression,skills,New,Increase your maximum health and stamina by 15.,最大生命值和体力增加15
Increase your maximum health and stamina by 20.,progression,skills,New,Increase your maximum health and stamina by 20.,最大生命值和体力增加20
Increase your maximum health and stamina by 25.,progression,skills,New,Increase your maximum health and stamina by 25.,最大生命值和体力增加25
Increase your maximum health and stamina by 30.,progression,skills,New,Increase your maximum health and stamina by 30.,最大生命值和体力增加30
You have the features of a demigod! Increase your maximum health and stamina by 40.,progression,skills,New,You have the features of a demigod! Increase your maximum health and stamina by 40.,你有半神的特征!\n最大生命值和体力增加40
Scavenger,progression,skills,New,Scavenger,拾荒者
