Key,File,Type,UsedInMainMenu,NoTranslate,English,russian
,,,,,,
foodBaconAndEggsDesc,items,Food,,,Food: [00FF36]36[-]\nHealth: [FF0000]18[-]\nMax Stamina Bonus: [0036FF]10[-]\n\nBacon and eggs will really fill you up and boost your Max Stamina. Cholesterol is the least of your worries now.,"Еда: [00FF36]36[-]\nЗдоровье: [FF0000]18[-]\nМакс Выносливость Бонус: 10\n\nЯичница с беконом позволит по-настоящему насытиться и значительно увеличить максимальный уровень выносливости. Холестерин — это последнее, о чем теперь стоит волноваться."
foodBakedPotatoDesc,items,Food,,,Food: [00FF36]10[-]\nHealth: [FF0000]5[-]\nWater: [0036FF]-5[-]\nMax Stamina Bonus: [0036FF]10[-]\n\nA nutritious baked potato full of carbohydrates. Great for couch potatoes too.,Еда: [00FF36]10[-]\nЗдоровье: [FF0000]5[-]\nВода: [0036FF]-5[-]\nБонус к макс. выносливости: [0036FF]10[-]\n\nПитательный печеный картофель богат углеводами. Блюдо отлично подойдет даже «диванным овощам».
foodBlueberryPieDesc,items,Food,,,Food: [00FF36]45[-]\nHealth: [FF0000]22[-]\nMax Stamina Bonus: [0036FF]20[-]\n\nThis homemade blueberry pie is nutritious and raises your Max Stamina. Mmm...just like Grandma used to make.,Еда: [00FF36]45[-]\nЗдоровье: [FF0000]22[-]\nБонус к макс. выносливости: [0036FF]20[-]\n\nДомашний черничный пирог — совсем как у бабули.
foodBoiledMeatDesc,items,Food,,,"Food: [00FF36]10[-]\nHealth: [FF0000]15[-]\nWater: [0036FF]10[-]\nMax Stamina Bonus: [0036FF]10[-]\n\nWhile not as yummy as grilled meat, boiling is an efficient way to prepare a meal.","Еда: [00FF36]10[-]\nЗдоровье: [FF0000]15[-]\nВода: [0036FF]10[-]\nБонус к макс. выносливости: [0036FF]10[-]\n\nНе так вкусно, как жареное, но варка – отличный способ приготовления мяса."
foodCanShamDesc,items,Food,,,Food: [00FF36]15[-]\nHealth: [FF0000]7[-]\n\nA can of high quality Shamway ham the number 1 maker of meat-like products. The lunch of champions.\n\nCrafted in lots of 5.,"Еда: [00FF36]15[-]\nЗдоровье: [FF0000]7[-]\n\nКонсервная банка высококачественной ветчины от «Срамвэй», компании №1 на рынке мясных подделок. Завтрак чемпионов.\nИзготавливается партиями по 5 штук."
foodCharredMeatDesc,items,Food,,,Food: [00FF36]10[-]\nHealth: [FF0000]5[-]\nWater: [0036FF]-5[-]\nMax Stamina Bonus: [0036FF]10[-]\n\nCharring meat isn't the best way to cook it but it's much better than eating it raw.,"Еда: [00FF36]10[-]\nЗдоровье: [FF0000]5[-]\nВода: [0036FF]-5[-]\nБонус к макс. выносливости: [0036FF]10[-]\n\nНе самый удачный способ готовить мясо, но всё лучше, чем есть его сырым."
foodChiliDogDesc,items,Food,,,Food: [00FF36]53[-]\nHealth: [FF0000]30[-]\nMax Stamina Bonus: [0036FF]30[-]\n\nTasty!,Еда: [00FF36]53[-]\nЗдоровье: [FF0000]30[-]\nБонус к макс. выносливости: [0036FF]30[-]\n\nВкусно!
foodCornBreadDesc,items,Food,,,Food: [00FF36]10[-]\nHealth: [FF0000]5[-]\nWater: [0036FF]-5[-]\nMax Stamina Bonus: [0036FF]10[-]\n\nA tasty piece of corn bread lifts your spirits with it's home-cooked charm.,Еда: [00FF36]10[-]\nЗдоровье: [FF0000]5[-]\nВода: [0036FF]-5[-]\nБонус к макс. выносливости: [0036FF]10[-]\n\nВкусный кусок кукурузного хлеба поднимет ваше настроение ароматом домашней выпечки.
foodCornMealDesc,items,Food,,,Food: [00FF36]2[-]\nHealth: [FF0000]1[-]\nWater: [0036FF]-3[-]\n\nCornmeal is used in several recipes at the campfire but you can just eat it.,"Еда: [00FF36]2[-]\nЗдоровье: [FF0000]1[-]\nВода: [0036FF]-3[-]\n\nИспользуется в нескольких рецептах для приготовления на костре, но можно съесть и так."
